
Año;Zona;Total;Enero;Febrero;Marzo;Abril;Mayo;Junio;Julio;Agosto;Septiembre;Octubre;Noviembre;Diciembre
2017;16. Hortaleza;339;17;15;23;41;33;34;29;14;39;27;35;32
2017;17. Villaverde;469;33;31;43;43;48;41;45;43;48;35;30;29
2017;18. Villa de Vallecas;388;33;28;35;26;37;41;38;16;43;39;30;22
2017;19. Vicálvaro;194;15;19;7;30;16;22;12;9;19;16;9;20
2017;20. San Blas-Canillejas;320;20;11;29;30;24;37;39;24;13;20;42;31
2017;21. Barajas;265;11;14;23;17;33;38;9;15;19;25;39;22
2017;Otras zonas;10;0;0;0;0;0;10;0;0;0;0;0;0
2018;Ciudad de Madrid;9.714;931;908;900;934;819;789;662;553;712;833;816;857
2018;01. Centro;1.582;189;218;147;187;103;114;107;71;74;117;122;133
2018;02. Arganzuela;366;29;31;35;27;34;25;26;24;46;34;26;29
2018;03. Retiro;187;14;13;14;19;13;19;18;7;19;24;14;13
2018;04. Salamanca;646;73;54;62;41;55;47;35;35;45;62;62;75
2018;05. Chamartín;566;55;40;48;69;58;36;47;24;49;51;41;48
2018;06. Tetuán;458;58;40;54;34;35;42;18;27;32;54;36;28
2018;07. Chamberí;339;30;37;31;55;29;31;21;16;16;23;23;27
2018;08. Fuencarral-El Pardo;257;20;16;21;31;14;21;15;15;26;30;21;27
2018;09. Moncloa-Aravaca;307;23;27;21;24;20;32;21;14;30;34;35;26
2018;10. Latina;386;36;30;46;45;46;42;22;26;25;20;26;22
2018;11. Carabanchel;694;64;60;74;68;64;60;51;42;53;45;51;62
2018;12. Usera;480;56;42;49;51;46;26;23;32;35;42;49;29
2018;13. Puente de Vallecas;1.030;67;87;68;93;83;89;72;80;69;76;116;130
2018;14. Moratalaz;148;11;13;16;21;14;16;12;2;9;8;11;15
2018;15. Ciudad Lineal;425;46;40;43;25;35;40;27;27;27;40;31;44
2018;16. Hortaleza;284;31;12;38;19;27;37;15;18;16;31;17;23
2018;17. Villaverde;468;45;36;37;41;34;27;44;27;50;38;44;45
2018;18. Villa de Vallecas;447;40;28;38;31;53;30;40;24;34;59;35;35
2018;19. Vicálvaro;97;3;6;12;12;3;18;5;6;15;8;3;6
2018;20. San Blas-Canillejas;368;31;22;41;28;33;23;32;31;32;32;33;30
2018;21. Barajas;109;10;13;2;10;17;13;8;5;9;4;16;2
2018;Otras zonas;70;0;43;3;3;3;1;3;0;1;1;4;8
2019;Ciudad de Madrid;9.509;657;740;810;761;796;907;799;669;765;827;809;969
2019;01. Centro;1.936;115;111;136;122;126;205;211;142;131;210;173;254
2019;02. Arganzuela;296;22;29;29;22;22;33;26;20;32;29;18;14
2019;03. Retiro;178;11;20;18;14;18;16;13;15;16;15;10;12
2019;04. Salamanca;728;37;59;66;51;47;63;64;52;59;66;75;89
2019;05. Chamartín;316;19;25;33;18;32;29;21;19;29;24;27;40
2019;06. Tetuán;520;45;25;47;53;61;29;39;30;37;39;49;66
2019;07. Chamberí;258;19;27;31;14;22;22;22;18;20;16;24;23
2019;08. Fuencarral-El Pardo;221;15;8;18;16;21;23;21;12;15;30;17;25
2019;09. Moncloa-Aravaca;281;12;17;29;30;19;39;22;9;20;31;27;26
2019;10. Latina;369;25;28;26;37;30;31;30;21;34;37;33;37
2019;11. Carabanchel;643;44;62;51;33;52;65;41;49;48;45;64;89
2019;12. Usera;380;39;33;36;34;25;31;21;18;36;32;34;41
2019;13. Puente de Vallecas;1.102;86;107;82;88;92;94;108;92;101;80;83;89
2019;14. Moratalaz;130;15;14;14;8;16;9;6;10;6;14;9;9
2019;15. Ciudad Lineal;499;30;36;38;39;47;37;37;36;67;42;51;39
2019;16. Hortaleza;226;19;19;13;19;30;27;15;13;12;19;30;10
2019;17. Villaverde;414;34;28;38;71;33;21;36;35;32;26;26;34
2019;18. Villa de Vallecas;334;35;42;40;30;33;25;25;36;19;22;16;11
2019;19. Vicálvaro;83;6;4;4;8;8;13;6;13;7;4;3;7
2019;20. San Blas-Canillejas;418;21;33;37;38;36;89;18;16;32;33;19;46
2019;21. Barajas;95;5;7;13;7;6;0;12;10;9;9;9;8
2019;Otras zonas;82;3;6;11;9;20;6;5;3;3;4;12;0
2020;Ciudad de Madrid;8.035;809;807;554;569;680;667;709;562;547;668;698;765
2020;01. Centro;1.469;198;177;107;60;61;80;153;102;118;154;128;131
2020;02. Arganzuela;292;18;37;38;22;25;18;23;23;22;15;19;32
2020;03. Retiro;152;19;12;6;8;6;24;17;12;11;8;17;12
2020;04. Salamanca;595;84;53;20;20;39;67;40;31;50;48;68;75
2020;05. Chamartín;266;32;24;17;27;26;24;17;11;10;13;33;32
2020;06. Tetuán;390;36;61;28;28;28;46;36;20;17;26;38;26
2020;07. Chamberí;203;18;33;9;6;11;17;12;8;18;33;22;16
2020;08. Fuencarral-El Pardo;216;25;21;17;13;12;16;23;11;17;16;22;23
2020;09. Moncloa-Aravaca;189;17;16;10;23;26;18;10;10;10;19;16;14
2020;10. Latina;389;26;33;31;37;23;41;32;37;21;43;33;32
2020;11. Carabanchel;564;39;34;34;56;71;57;43;40;41;35;36;78
